condition,suite,task_id,task,episode_index,seed,delay_ticks,delay_ms,success,reward,steps,policy_calls,mean_inference_ms,p95_inference_ms,mean_state_prediction_mse,mean_handoff_action_l2,queue_underflows
stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,0,1000,0,0,False,0.0,280,28,392.97828104879176,462.2431324794888,nan,1.0480917736336037,0
stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,1,1001,0,0,True,1.0,125,13,399.9666520036184,473.6052501946687,nan,0.8178398758172989,0
stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,2,1002,0,0,True,1.0,85,9,356.87271712554826,433.06902796030045,nan,0.9268727153539658,0
stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,3,1003,0,0,True,1.0,91,10,356.00026436150074,456.6537679173052,nan,0.7055854399998983,0
stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,4,1004,0,0,True,1.0,98,10,368.1977903470397,447.26277692243457,nan,0.6356147362126244,0
stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,5,1005,0,0,False,0.0,280,28,379.45483372147595,494.2433849908411,nan,1.0751769934539441,0
stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,6,1006,0,0,True,1.0,93,10,358.6357597261667,418.4341410174966,nan,0.6780632734298706,0
stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,7,1007,0,0,False,0.0,280,28,347.64859366363714,426.8407088704407,nan,1.1408371682520266,0
stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,8,1008,0,0,False,0.0,280,28,381.5023428760469,472.3430226556957,nan,0.9338212134661498,0
stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,9,1009,0,0,False,0.0,280,28,358.5496924684516,427.2021435201168,nan,1.2068435969176117,0
stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,0,1000,1,100,False,0.0,280,28,376.23975399349416,423.6164992675185,nan,0.9537881342349229,0
stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,1,1001,1,100,False,0.0,280,28,368.3526258516525,444.49186595156783,nan,0.7944176191533053,0
stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,2,1002,1,100,True,1.0,98,10,352.27492060512304,428.3807123079896,nan,0.7988007432884641,0
stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,3,1003,1,100,True,1.0,103,11,387.13262585753745,481.38029780238867,nan,0.8144923403859139,0
stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,4,1004,1,100,True,1.0,99,10,368.14312282949686,426.1028720997274,nan,0.6390006244182587,0
stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,5,1005,1,100,False,0.0,280,28,356.9373272891556,420.41173661127687,nan,1.0976776867001146,0
stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,6,1006,1,100,False,0.0,280,28,349.34017501239265,424.4517751969397,nan,1.0563702919968851,0
stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,7,1007,1,100,False,0.0,280,28,357.3310272102909,440.5027505941689,nan,1.1313133195594505,0
stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,8,1008,1,100,False,0.0,280,28,346.49292000436355,413.6198810301721,nan,0.8225792530510161,0
stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,9,1009,1,100,False,0.0,280,28,363.15874848514795,450.7969667203724,nan,1.0889662001971845,0
stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,0,1000,2,200,False,0.0,280,28,375.5812481311815,461.477027554065,nan,1.090197225411733,0
stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,1,1001,2,200,False,0.0,280,28,361.28737770819237,465.4979697428643,nan,1.0811671272472099,0
stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,2,1002,2,200,True,1.0,88,9,367.0371209995614,457.4434947222471,nan,0.9106217101216316,0
stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,3,1003,2,200,True,1.0,122,13,346.2793238174457,420.9757089614868,nan,0.7911226315931841,0
stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,4,1004,2,200,False,0.0,280,28,370.7271962692695,466.47479413077235,nan,0.7451993193891313,0
stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,5,1005,2,200,False,0.0,280,28,354.43816613405943,418.15415509045124,nan,0.9894296720072076,0
stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,6,1006,2,200,False,0.0,280,28,344.9024300623153,394.3178250454366,nan,1.2214200171055618,0
stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,7,1007,2,200,False,0.0,280,28,367.37291933968663,422.482484113425,nan,1.1008784472942352,0
stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,8,1008,2,200,False,0.0,280,28,367.53058919150914,447.44399320334196,nan,1.0459493865017537,0
stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,9,1009,2,200,False,0.0,280,28,353.9261360918837,417.778539378196,nan,1.1173643475329433,0
stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,0,1000,3,300,False,0.0,280,28,347.4771742309843,424.0034150891006,nan,1.1401909054429442,0
stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,1,1001,3,300,False,0.0,280,28,340.7360116418983,452.6014935225248,nan,0.9251126768412413,0
stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,2,1002,3,300,False,0.0,280,28,333.8207323104143,402.5776802562177,nan,1.0891614614261522,0
stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,3,1003,3,300,False,0.0,280,28,328.68174110938395,373.23732785880566,nan,1.0769594742192163,0
stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,4,1004,3,300,False,0.0,280,28,338.4761550197644,434.1825092211365,nan,0.805238906983976,0
stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,5,1005,3,300,False,0.0,280,28,340.3007660194167,404.37859548255796,nan,0.9133916789734805,0
stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,6,1006,3,300,False,0.0,280,28,368.90347335221514,461.542437504977,nan,1.2589740891147543,0
stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,7,1007,3,300,False,0.0,280,28,370.85963878780603,472.46844349429006,nan,0.7804750771158271,0
stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,8,1008,3,300,False,0.0,280,28,349.69250644956315,422.1789740025997,nan,0.9771593698748836,0
stale,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,9,1009,3,300,True,1.0,128,13,374.13082615687296,439.0961237251758,nan,0.9273326446612676,0
learned,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,0,1000,1,100,False,0.0,280,28,412.37487976572345,493.34483277052635,1.102396285861889e-05,0.9002405344336121,0
learned,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,1,1001,1,100,True,1.0,267,27,379.5499114526643,451.3738624751568,2.0195921339249115e-05,0.8520756375331145,0
learned,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,2,1002,1,100,False,0.0,280,28,386.6179244193648,433.0358252860606,1.2946281357370834e-05,1.1414114584525425,0
learned,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,3,1003,1,100,True,1.0,244,25,379.0450994670391,426.62330232560635,8.265438135405626e-06,0.8354796053220829,0
learned,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,4,1004,1,100,True,1.0,93,10,428.161346539855,529.5109824277461,2.665345290451013e-06,0.7098336733049817,0
learned,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,5,1005,1,100,False,0.0,280,28,389.1370730873729,427.0318469032645,7.583346250275672e-06,0.7266095920845315,0
learned,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,6,1006,1,100,True,1.0,96,10,378.0149143189192,412.58121728897095,8.084001744161165e-06,0.5163055890136294,0
learned,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,7,1007,1,100,False,0.0,280,28,380.7146565855614,417.55691012367606,9.415856016790645e-06,1.1289438875737015,0
learned,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,8,1008,1,100,True,1.0,272,28,374.23403740727474,417.22247432917356,7.74256134432276e-06,1.0817997367293746,0
learned,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,9,1009,1,100,False,0.0,280,28,384.62449982762337,466.7534979991614,6.7786676696515415e-06,0.9749081156871937,0
learned,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,0,1000,2,200,False,0.0,280,28,378.31209087744355,422.8367717936635,2.504957121295269e-05,0.9267629970003057,0
learned,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,1,1001,2,200,False,0.0,280,28,378.5569103700774,418.638907186687,4.177798134858474e-05,0.7385369434400841,0
learned,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,2,1002,2,200,True,1.0,92,10,392.53457579761744,452.28826245293016,9.770802265052225e-06,0.7997807376086712,0
learned,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,3,1003,2,200,False,0.0,280,28,369.27805062649503,410.19114339724183,2.128347969792904e-05,0.8464567032125261,0
learned,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,4,1004,2,200,True,1.0,104,11,388.79719698293644,423.9486986771226,1.1192030660822638e-05,0.8901569575071335,0
learned,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,5,1005,2,200,True,1.0,173,18,381.698993448582,435.6787597760558,3.177662073446353e-05,0.6007002968998516,0
learned,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,6,1006,2,200,True,1.0,105,11,380.8885702694004,436.90788093954325,1.2395047107816026e-05,0.471753878891468,0
learned,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,7,1007,2,200,False,0.0,280,28,384.2999994355653,431.168825738132,2.3221131388911293e-05,1.1520843958413158,0
learned,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,8,1008,2,200,False,0.0,280,28,375.04182948863934,416.49582888931036,4.286727876963899e-05,1.1382821963893042,0
learned,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,9,1009,2,200,False,0.0,280,28,399.0088187025062,468.0376024916768,2.0846487409976868e-05,1.0694401738820252,0
learned,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,0,1000,3,300,False,0.0,280,28,390.3050312905439,435.70592515170574,5.513524608128743e-05,1.152817071587951,0
learned,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,1,1001,3,300,False,0.0,280,28,386.172007436731,428.42957843095064,6.32728764963354e-05,1.0868804719712999,0
learned,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,2,1002,3,300,True,1.0,162,17,375.6822030991316,416.80479273200035,1.784274555423811e-05,0.7949465086062749,0
learned,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,3,1003,3,300,False,0.0,280,28,391.8988276273012,454.14907513186336,3.3894481938895534e-05,0.919347044494417,0
learned,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,4,1004,3,300,False,0.0,280,28,382.7138599008322,444.57697328180075,3.8327706954953976e-05,0.8905333335752841,0
learned,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,5,1005,3,300,False,0.0,280,28,398.5003449155816,470.42214069515467,3.8457278568178786e-05,0.6385650982459387,0
learned,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,6,1006,3,300,True,1.0,104,11,382.79386000199753,430.99698703736067,1.9267391576249792e-05,0.6126161098480225,0
