dtype,batch_size,horizon,action_dim,elements,hidden_dim,action_head_ms,torch_postprocess_us,triton_postprocess_us,triton_speedup,max_error
bf16,1,10,14,140,896,0.02999295949935913,30.371840000152588,34.18031930923462,0.8885768364354314,0.001953125
bf16,1,10,64,640,896,0.03524096012115478,31.20703935623169,20.813438892364502,1.4993696869420325,0.0078125
bf16,1,32,14,448,896,0.033002240657806395,30.622239112854004,21.386399269104004,1.4318557662529294,0.0078125
bf16,1,32,64,2048,896,0.03297744035720825,30.98639965057373,21.263999938964844,1.4572234640479493,0.0078125
bf16,1,64,14,896,896,0.03763711929321289,31.318559646606445,21.06879949569702,1.4864899945059888,0.0078125
bf16,1,64,64,4096,896,0.032865281105041506,30.817279815673828,21.125121116638184,1.4587977813486752,0.0078125
bf16,4,10,14,560,896,0.03548288106918335,30.8788800239563,21.54047966003418,1.4335279674040138,0.0078125
bf16,4,10,64,2560,896,0.03801088094711304,31.161279678344727,20.823040008544922,1.4964808051829808,0.0078125
bf16,4,32,14,1792,896,0.038604800701141355,31.344480514526367,21.237759590148926,1.475884515100426,0.0078125
bf16,4,32,64,8192,896,0.03443135976791382,30.92672109603882,20.721440315246582,1.492498621019279,0.0078125
bf16,4,64,14,3584,896,0.03680272102355957,31.07840061187744,20.823040008544922,1.4925006434758872,0.0078125
bf16,4,64,64,16384,896,0.03503103971481323,30.32576084136963,21.10975980758667,1.4365753621919852,0.0078125
bf16,16,10,14,2240,896,0.039332799911499024,30.77631950378418,20.26495933532715,1.5186963365938253,0.0078125
bf16,16,10,64,10240,896,0.04803967952728271,30.388319492340088,27.96544075012207,1.0866383177675267,0.0078125
bf16,16,32,14,7168,896,0.039326720237731934,37.37600088119507,20.598559379577637,1.8144958680096515,0.0078125
bf16,16,32,64,32768,896,0.03570175886154175,31.088480949401855,20.715041160583496,1.5007684854885495,0.0078125
bf16,16,64,14,14336,896,0.03526144027709961,26.967360973358154,20.01904010772705,1.3470856159056874,0.0078125
bf16,16,64,64,65536,896,0.03144704103469849,30.58784008026123,20.939199924468994,1.460793162613491,0.0078125
bf16,64,10,14,8960,896,0.03979599952697754,31.184799671173096,21.01759910583496,1.4837470024116832,0.0078125
bf16,64,10,64,40960,896,0.03971967935562134,31.30880117416382,20.746240615844727,1.5091313049869888,0.0078125
bf16,64,32,14,28672,896,0.04022272109985352,36.915199756622314,20.705280303955078,1.782888191548455,0.0078125
bf16,64,32,64,131072,896,0.03638688087463379,30.55583953857422,21.24351978302002,1.438360490665843,0.0078125
bf16,64,64,14,57344,896,0.037269120216369626,30.90575933456421,20.746240615844727,1.4897040821439358,0.0078125
bf16,64,64,64,262144,896,0.03438047885894775,31.16544008255005,20.921759605407715,1.4896184962614052,0.0078125
bf16,256,10,14,35840,896,0.037237119674682614,30.74687957763672,20.546560287475586,1.4964489991241436,0.0078125
bf16,256,10,64,163840,896,0.03449968099594116,30.53567886352539,20.770559310913086,1.470142349391699,0.0078125
bf16,256,32,14,114688,896,0.04968815803527832,30.43839931488037,32.15359926223755,0.9466560513686697,0.0078125
bf16,256,32,64,524288,896,0.04388175964355469,30.597760677337646,20.884480476379395,1.4650956106829707,0.0078125
bf16,256,64,14,229376,896,0.03519999980926514,31.133439540863037,21.12368106842041,1.473864306132091,0.0078125
bf16,256,64,64,1048576,896,0.06780399799346924,30.659520626068115,21.27984046936035,1.4407777478507435,0.0078125
