mode,dataset_index,episode_index,delay,valid_action_steps,first_action_mae,first_action_mse,first4_mae,first4_mse,chunk_mae,chunk_mse
sync,0,0,0,50,0.024204779416322708,0.0008857639622874558,0.03485739603638649,0.0026445388793945312,0.15482543408870697,0.11763568222522736
sync,3863,2,0,50,0.09682752937078476,0.020591218024492264,0.0959741398692131,0.020427942276000977,0.10314396768808365,0.023234838619828224
sync,7727,5,0,50,0.08367403596639633,0.011984064243733883,0.0886901244521141,0.013618424534797668,0.1348068118095398,0.03144953027367592
sync,11590,7,0,50,0.0730152279138565,0.008557724766433239,0.07356815785169601,0.008598263375461102,0.14999866485595703,0.04639173299074173
sync,0,0,4,50,0.07704118639230728,0.014209426939487457,0.09901965409517288,0.030064325779676437,0.1706063449382782,0.1274389922618866
sync,3863,2,4,50,0.09089149534702301,0.02026420645415783,0.08949984610080719,0.01969030313193798,0.08171458542346954,0.017192615196108818
sync,7727,5,4,50,0.09981846809387207,0.02191612310707569,0.10597427189350128,0.024033671244978905,0.1341206133365631,0.038195617496967316
sync,11590,7,4,50,0.1005440279841423,0.016410870477557182,0.10078084468841553,0.016465524211525917,0.18228547275066376,0.07495588809251785
sync,0,0,8,50,0.14851340651512146,0.06880200654268265,0.17093107104301453,0.09990223497152328,0.23386910557746887,0.12845183908939362
sync,3863,2,8,50,0.053875647485256195,0.00407578656449914,0.05407910794019699,0.004084721673280001,0.05780519172549248,0.005323336459696293
sync,7727,5,8,50,0.10943945497274399,0.019610894843935966,0.10824558883905411,0.01883697137236595,0.10985483229160309,0.02083633467555046
sync,11590,7,8,50,0.11924433708190918,0.02592778578400612,0.11803559958934784,0.02558312751352787,0.16763629019260406,0.06282251328229904
sync,15454,10,0,50,0.06525444984436035,0.0075383977964520454,0.0634230226278305,0.0071987248957157135,0.11459606885910034,0.031223095953464508
sync,19318,12,0,50,0.08248864114284515,0.010187014937400818,0.07806182652711868,0.009266768582165241,0.08821379393339157,0.015396788716316223
sync,23181,15,0,50,0.10701469331979752,0.017231443896889687,0.11048691719770432,0.017369840294122696,0.10659081488847733,0.01913091167807579
sync,27045,18,0,50,0.06946486979722977,0.008833126164972782,0.06887174397706985,0.008430109359323978,0.06596673280000687,0.007583239581435919
sync,15454,10,4,50,0.06821054965257645,0.008216886781156063,0.06798090785741806,0.008281894959509373,0.10636883229017258,0.035921741276979446
sync,19318,12,4,50,0.0781189426779747,0.013742477633059025,0.07955852895975113,0.01509033888578415,0.06791400164365768,0.009964979253709316
sync,23181,15,4,50,0.0795215368270874,0.009058842435479164,0.07615102827548981,0.008742530830204487,0.0823938176035881,0.011770639568567276
sync,27045,18,4,50,0.0838555172085762,0.012363075278699398,0.09188230335712433,0.014987079426646233,0.2324391007423401,0.12048455327749252
sync,15454,10,8,50,0.08893518149852753,0.014211034402251244,0.09527581185102463,0.014994584023952484,0.16333214938640594,0.05578555539250374
sync,19318,12,8,50,0.10301859676837921,0.016988348215818405,0.10627706348896027,0.01830294542014599,0.09162766486406326,0.016446106135845184
sync,23181,15,8,50,0.10516388714313507,0.019340723752975464,0.10536283999681473,0.01943725161254406,0.11525599658489227,0.026624448597431183
sync,27045,18,8,50,0.032373979687690735,0.0016737328842282295,0.030625462532043457,0.0014874886255711317,0.03335287794470787,0.0022518804762512445
sync,30908,20,0,50,0.07752338796854019,0.01467352919280529,0.07649331539869308,0.01488410122692585,0.10643031448125839,0.019375870004296303
sync,34772,23,0,50,0.10965462774038315,0.0270350631326437,0.11068498343229294,0.02730233035981655,0.13328371942043304,0.038975588977336884
sync,38636,25,0,50,0.06596992909908295,0.007017322815954685,0.06299819052219391,0.006558578461408615,0.06519978493452072,0.007273958530277014
sync,42499,28,0,50,0.07887615263462067,0.012329577468335629,0.07844052463769913,0.012351855635643005,0.10001948475837708,0.02062796801328659
sync,30908,20,4,50,0.09199769049882889,0.017234565690159798,0.09142123907804489,0.016607658937573433,0.07117166370153427,0.010141092352569103
sync,34772,23,4,50,0.05492674559354782,0.006084884982556105,0.057777728885412216,0.006845459342002869,0.07321605086326599,0.010156449861824512
sync,38636,25,4,50,0.062420912086963654,0.00568752083927393,0.06357019394636154,0.006109123583883047,0.07928965240716934,0.01093466579914093
sync,42499,28,4,50,0.12098648399114609,0.01805763505399227,0.12115570157766342,0.01812875084578991,0.14372952282428741,0.04283728823065758
sync,30908,20,8,50,0.1384005844593048,0.04269953817129135,0.14277364313602448,0.0440489761531353,0.14741115272045135,0.0426107682287693
sync,34772,23,8,50,0.08344186097383499,0.010686678811907768,0.0820242166519165,0.01037187036126852,0.08483525365591049,0.011130750179290771
sync,38636,25,8,50,0.10337986052036285,0.01658354513347149,0.10537532716989517,0.01702910102903843,0.11380207538604736,0.0204389076679945
