mode,dataset_index,episode_index,delay,valid_action_steps,first_action_mae,first_action_mse,first4_mae,first4_mse,chunk_mae,chunk_mse
vlash,0,0,0,50,0.015276848338544369,0.00035336261498741806,0.026699796319007874,0.00214979937300086,0.14844642579555511,0.1173805445432663
vlash,3863,2,0,50,0.06947655230760574,0.012658190913498402,0.07060825079679489,0.012860539369285107,0.08878679573535919,0.01705670915544033
vlash,7727,5,0,50,0.07046136260032654,0.007634373847395182,0.07446146011352539,0.009070219472050667,0.11713481694459915,0.026153232902288437
vlash,11590,7,0,50,0.04672618582844734,0.00420331209897995,0.04757542163133621,0.004388335160911083,0.08582442998886108,0.011780798435211182
vlash,0,0,4,50,0.06111568957567215,0.011501910164952278,0.08303476125001907,0.027437400072813034,0.16177085041999817,0.12617841362953186
vlash,3863,2,4,50,0.06310763955116272,0.012739947065711021,0.06275086849927902,0.01224959921091795,0.0854043960571289,0.015274688601493835
vlash,7727,5,4,50,0.05458441749215126,0.007044921163469553,0.05694809928536415,0.007628843188285828,0.08795521408319473,0.02224772237241268
vlash,11590,7,4,50,0.05250295251607895,0.004044204484671354,0.05156755447387695,0.003838601289317012,0.06686834245920181,0.007876885123550892
vlash,0,0,8,50,0.12552997469902039,0.06532355397939682,0.14613933861255646,0.09643431007862091,0.16292747855186462,0.10249703377485275
vlash,3863,2,8,50,0.04205814003944397,0.0038239911664277315,0.04336610808968544,0.003936785738915205,0.053613025695085526,0.0056032161228358746
vlash,7727,5,8,50,0.05146876722574234,0.003927986137568951,0.05079125612974167,0.003807241562753916,0.07939446717500687,0.02929818071424961
vlash,11590,7,8,50,0.05856576934456825,0.006531510502099991,0.06449645012617111,0.008076620288193226,0.10510885715484619,0.023293819278478622
vlash,15454,10,0,50,0.05085127800703049,0.005488391499966383,0.04978957772254944,0.0053130569867789745,0.08897630125284195,0.025883646681904793
vlash,19318,12,0,50,0.058836620301008224,0.005975100211799145,0.05736299976706505,0.0057214247062802315,0.07937195152044296,0.013980942778289318
vlash,23181,15,0,50,0.06451056152582169,0.006784589495509863,0.07001136988401413,0.007300480268895626,0.07491663843393326,0.009786064736545086
vlash,27045,18,0,50,0.037260591983795166,0.0025343161541968584,0.0364513099193573,0.0024782007094472647,0.03204376623034477,0.002258818130940199
vlash,15454,10,4,50,0.05845833569765091,0.004960724618285894,0.05748280510306358,0.0051406072452664375,0.10286295413970947,0.03535731881856918
vlash,19318,12,4,50,0.04543251544237137,0.005129076540470123,0.04780498892068863,0.005400524009019136,0.06308899819850922,0.008013689890503883
vlash,23181,15,4,50,0.06633829325437546,0.005310376640409231,0.06240770220756531,0.005012678913772106,0.06529095023870468,0.006869885604828596
vlash,27045,18,4,50,0.01859225705265999,0.000550587777979672,0.01906031183898449,0.0005973711959086359,0.018874993547797203,0.0005665335338562727
vlash,15454,10,8,50,0.04415092244744301,0.004131013993173838,0.046007901430130005,0.0036700102500617504,0.13973307609558105,0.05066473409533501
vlash,19318,12,8,50,0.057114243507385254,0.005102361086755991,0.0585230216383934,0.0054451217874884605,0.0822490006685257,0.014932817779481411
vlash,23181,15,8,50,0.06747789680957794,0.006236380431801081,0.06714434921741486,0.00637164618819952,0.07928094267845154,0.013940175995230675
vlash,27045,18,8,50,0.018239866942167282,0.0006584284128621221,0.018735704943537712,0.0006911958917044103,0.02612532489001751,0.0018023101147264242
vlash,30908,20,0,50,0.06697015464305878,0.00756923807784915,0.06519100815057755,0.0075694057159125805,0.09777840971946716,0.01447518914937973
vlash,34772,23,0,50,0.06266839802265167,0.00803092960268259,0.06210342049598694,0.008202034048736095,0.0729813203215599,0.012079086154699326
vlash,38636,25,0,50,0.04877346381545067,0.004107323475182056,0.0476471371948719,0.004057120531797409,0.05979987978935242,0.006976376287639141
vlash,42499,28,0,50,0.0512380413711071,0.0037043150514364243,0.05206041783094406,0.0039000133983790874,0.11116606742143631,0.04669521749019623
vlash,30908,20,4,50,0.07041569799184799,0.009903929196298122,0.06986009329557419,0.009716306813061237,0.06139487773180008,0.007224021479487419
vlash,34772,23,4,50,0.03413098305463791,0.0016732842195779085,0.032178573310375214,0.001677800784818828,0.03980981931090355,0.002667349996045232
vlash,38636,25,4,50,0.037970785051584244,0.0020283435005694628,0.04268175736069679,0.00263588922098279,0.06661813706159592,0.008277089335024357
vlash,42499,28,4,50,0.08446712046861649,0.008389163762331009,0.08623272180557251,0.008770696818828583,0.14095298945903778,0.06093224510550499
vlash,30908,20,8,50,0.08840162307024002,0.017880702391266823,0.09087246656417847,0.01888185366988182,0.11233284324407578,0.026166921481490135
vlash,34772,23,8,50,0.04940798506140709,0.004471339751034975,0.04666296765208244,0.0038388201501220465,0.0420556515455246,0.003101740265265107
vlash,38636,25,8,50,0.05219842866063118,0.0043627601116895676,0.05185072869062424,0.004384963307529688,0.06964360177516937,0.008146635256707668
vlash,42499,28,8,50,0.045292217284440994,0.005380433984100819,0.04531366378068924,0.005443289875984192,0.06412377208471298,0.015431857667863369
vlash,46363,30,0,50,0.0393998920917511,0.0026402107905596495,0.0384039469063282,0.002436924260109663,0.04130975157022476,0.0024363279808312654
vlash,50226,33,0,50,0.057128649204969406,0.0055967639200389385,0.058706384152173996,0.005744882859289646,0.10423391312360764,0.01936333440244198
