step,fetch_observation,latency_ms,chunk_index,queue_active,sent_action,action_l2
0,1,97879.3084397912,1,1,0,2.150027245037399
1,0,0.050321221351623535,2,1,1,2.1549703197785695
2,0,0.05317479372024536,3,1,0,2.152446686278379
3,0,0.09703636169433594,4,1,1,2.1541124142630745
4,0,0.05908310413360596,5,1,0,2.1536743815050827
5,0,0.07155537605285645,6,1,1,2.152519805854564
6,0,0.050827860832214355,7,1,0,2.1531969647226807
7,0,0.0433996319770813,8,1,1,2.1509312645890923
8,0,0.04186481237411499,9,1,0,2.153289453712766
9,0,0.04953145980834961,10,1,1,2.152081587648728
10,0,0.04453212022781372,11,1,0,2.1526153741181147
11,0,0.058516860008239746,12,1,1,2.1502329045144144
12,0,0.051118433475494385,13,1,0,2.150678742082623
13,0,0.03534555435180664,14,1,1,2.1529868201092563
14,0,0.04521012306213379,15,1,0,2.151447609651938
15,0,0.04681199789047241,16,1,1,2.1518325878374687
16,0,0.05963444709777832,17,1,0,2.1548755709957867
17,0,0.03390014171600342,18,1,1,2.150708580473903
18,0,0.051021575927734375,19,1,0,2.150080187893763
19,0,0.0559687614440918,20,1,1,2.148747896113072
20,0,0.04930049180984497,21,1,0,2.152527128059335
21,0,0.04182755947113037,22,1,1,2.1512509265792277
22,0,0.035099685192108154,23,1,0,2.148260197387751
23,0,0.04652142524719238,24,1,1,2.1516559353657456
24,0,0.03682821989059448,25,1,0,2.1531558200514014
25,0,0.05269050598144531,26,1,1,2.1464489370745876
26,0,0.050455331802368164,27,1,0,2.1514529859574134
27,0,0.03501027822494507,28,1,1,2.1494653572308198
28,0,0.043801963329315186,29,1,0,2.1480816644593967
29,0,0.03229081630706787,30,1,1,2.1469096271694017
30,0,0.03559887409210205,31,1,0,2.1498531481137677
31,0,0.06700307130813599,32,1,1,2.1478232117832796
32,0,0.03789365291595459,33,1,0,2.1467358145495
33,0,0.03764033317565918,34,1,1,2.1517850957637843
34,0,0.03398209810256958,35,1,0,2.1488188175566143
35,0,0.03498047590255737,36,1,1,2.1498941234744273
36,0,0.04096329212188721,37,1,0,2.1497994968809344
37,0,0.04773586988449097,38,1,1,2.1492856628960233
38,0,0.03565847873687744,39,1,0,2.1494540845386685
39,0,0.04468858242034912,40,1,1,2.1529030195245364
40,0,0.04976242780685425,41,1,0,2.149700911404539
41,0,0.038839876651763916,42,1,1,2.149648638520646
42,1,85998.17590415478,43,1,0,2.149726505429401
43,0,0.10783225297927856,44,1,1,2.151716685581179
44,0,0.04100799560546875,45,1,0,2.1535121582703156
45,0,0.03949552774429321,46,1,1,2.1541884704857432
46,0,0.0432431697845459,47,1,0,2.1504083667734144
47,0,0.04357099533081055,48,1,1,2.157450029745946
48,0,0.04647672176361084,49,1,0,2.158648462679644
49,0,0.045709311962127686,0,1,1,2.155646913112996
50,0,0.04954636096954346,1,1,0,2.471574333259565
51,0,0.04571676254272461,2,1,1,2.4666218621894687
52,0,0.04255026578903198,3,1,0,2.469643190562284
53,0,0.04573166370391846,4,1,1,2.4680222858555827
54,0,0.04581362009048462,5,1,0,2.476023437890029
55,0,0.03445148468017578,6,1,1,2.475270607190867
56,0,0.03530830144882202,7,1,0,2.474683842691472
57,0,0.07436424493789673,8,1,1,2.4787297905008314
58,0,0.050127506256103516,9,1,0,2.4784871714445034
59,0,0.05049258470535278,10,1,1,2.4793919067030155
60,0,0.04280358552932739,11,1,0,2.478116394679412
61,0,0.049948692321777344,12,1,1,2.480162375525462
62,0,0.043995678424835205,13,1,0,2.473757589343554
63,0,0.04311650991439819,14,1,1,2.4806333720781155
64,0,0.04383176565170288,15,1,0,2.4768087277317674
65,0,0.04210323095321655,16,1,1,2.476889069303359
66,0,0.04462897777557373,17,1,0,2.4722343512478373
67,0,0.042557716369628906,18,1,1,2.4769372565128744
68,0,0.04155188798904419,19,1,0,2.473876145608363
69,0,0.04512816667556763,20,1,1,2.4732304467890667
70,0,0.05681067705154419,21,1,0,2.467959675264778
71,0,0.05857646465301514,22,1,1,2.4703770373429457
72,0,0.044852495193481445,23,1,0,2.4659286629067947
73,0,0.05426257848739624,24,1,1,2.471001710181502
74,0,0.039540231227874756,25,1,0,2.4747328870579466
75,0,0.04630535840988159,26,1,1,2.469640301229724
76,0,0.0502169132232666,27,1,0,2.4732081927953593
77,0,0.04334747791290283,28,1,1,2.471383452433036
78,0,0.04667043685913086,29,1,0,2.474950151140739
79,0,0.047773122787475586,30,1,1,2.480149033895754
80,0,0.059194862842559814,31,1,0,2.48086296565229
81,0,0.053316354751586914,32,1,1,2.4780188268677175
82,0,0.03983825445175171,33,1,0,2.481177112373966
83,0,0.03742426633834839,34,1,1,2.4808515370638835
84,0,0.03489851951599121,35,1,0,2.4785199262131785
85,0,0.03416091203689575,36,1,1,2.4838791439271395
86,0,0.05850940942764282,37,1,0,2.4858267365945714
87,0,0.04500150680541992,38,1,1,2.4886654125543615
88,0,0.048808753490448,39,1,0,2.48191098027829
89,0,0.052869319915771484,40,1,1,2.4833410780345964
90,0,0.0514984130859375,41,1,0,2.479418786422668
91,0,0.04824995994567871,42,1,1,2.4758202986543165
92,1,86393.98788660765,43,1,0,2.4848932466282925
93,0,0.05020946264266968,44,1,1,2.4749260437723715
94,0,0.045686960220336914,45,1,0,2.4771396031842494
95,0,0.05031377077102661,46,1,1,2.474810577530458
