step,fetch_observation,latency_ms,chunk_index,queue_active,sent_action,action_l2
0,1,91587.24038302898,1,1,1,2.4516357956189623
1,0,0.08124113082885742,2,1,1,2.455520001413586
2,0,0.04454702138900757,3,1,1,2.464397848600837
3,0,0.05048513412475586,4,1,1,2.464374658920298
4,0,0.05192309617996216,5,1,1,2.4658488677564145
5,0,0.07737427949905396,6,1,1,2.4658610802152974
6,0,0.04484504461288452,7,1,1,2.462929494742631
7,0,0.03696233034133911,8,1,1,2.4603812203994813
8,0,0.055827200412750244,9,1,1,2.4659137509823514
9,0,0.057660043239593506,10,1,1,2.463009805774917
10,0,0.03647804260253906,11,1,1,2.4572910327927007
11,0,0.04208087921142578,12,1,1,2.4539453740296664
12,0,0.06073713302612305,13,1,1,2.456226857724192
13,0,0.04325062036514282,14,1,1,2.453714067160938
14,0,0.04406273365020752,15,1,1,2.4464471650087836
15,0,0.04454702138900757,16,1,1,2.4468523836828697
16,0,0.043995678424835205,17,1,1,2.442571350786338
17,0,0.04558265209197998,18,1,1,2.4484051755276335
18,0,0.059135258197784424,19,1,1,2.4497606411144655
19,0,0.048138201236724854,20,1,1,2.4604508522646427
20,0,0.04349648952484131,21,1,1,2.461123916777082
21,0,0.05319714546203613,22,1,1,2.4793437333002624
22,0,0.05908310413360596,23,1,1,2.484065249158424
23,0,0.06098300218582153,24,1,1,2.500900144577187
24,0,0.05025416612625122,25,1,1,2.5204035229685497
25,0,0.05368143320083618,26,1,1,2.5422532424656508
26,0,0.04548579454421997,27,1,1,2.5541575196302952
27,0,0.04213303327560425,28,1,1,2.5702938357770244
28,0,0.04369765520095825,29,1,1,2.575886309226793
29,0,0.05163252353668213,30,1,1,2.576828679965931
30,0,0.04614889621734619,31,1,1,2.570114341420768
31,0,0.05026906728744507,32,1,1,2.5632593867886713
32,0,0.05809217691421509,33,1,1,2.5567767220737743
33,0,0.05817413330078125,34,1,1,2.5501303865135823
34,0,0.06002187728881836,35,1,1,2.5444853470663786
35,0,0.05538761615753174,36,1,1,2.525796411358848
36,0,0.05669146776199341,37,1,1,2.5277099201874487
37,0,0.044815242290496826,38,1,1,2.5180764218903215
38,0,0.05011260509490967,39,1,1,2.51390269754274
39,0,0.04973262548446655,40,1,1,2.5122885173701746
40,0,0.04521012306213379,41,1,1,2.510371119047403
41,0,0.052988529205322266,42,1,1,2.507547153300122
42,0,0.04848092794418335,43,1,1,2.508089403406182
43,0,0.061921775341033936,44,1,1,2.501556483567285
44,0,0.04659593105316162,45,1,1,2.498673409772435
45,0,0.04421919584274292,46,1,1,2.494197372138159
46,0,0.04431605339050293,47,1,1,2.4938068005829668
47,0,0.04807859659194946,48,1,1,2.4927820189675587
48,0,0.046469271183013916,49,1,1,2.4874002571141482
49,0,0.053472816944122314,0,0,1,2.4856538350985
50,1,81494.76653337479,1,1,1,2.929064855544533
51,0,0.06683170795440674,2,1,1,2.940010096559621
52,0,0.05893409252166748,3,1,1,2.9347869158371744
53,0,0.04874914884567261,4,1,1,2.9274222017641622
54,0,0.04646182060241699,5,1,1,2.9201458540047285
55,0,0.04252791404724121,6,1,1,2.9169746249562785
56,0,0.05204975605010986,7,1,1,2.9156004016428407
57,0,0.04421919584274292,8,1,1,2.9092217599804884
58,0,0.033095479011535645,9,1,1,2.904236812884834
59,0,0.03849714994430542,10,1,1,2.889544318217058
60,0,0.044576823711395264,11,1,1,2.885234556177985
61,0,0.051081180572509766,12,1,1,2.8678462427447293
62,0,0.0459328293800354,13,1,1,2.857918687397377
63,0,0.053398311138153076,14,1,1,2.843295264455237
64,0,0.042304396629333496,15,1,1,2.8262955842873025
65,0,0.042751431465148926,16,1,1,2.8063140318933075
66,0,0.04388391971588135,17,1,1,2.79003999723132
67,0,0.04312396049499512,18,1,1,2.772320237747219
68,0,0.05148351192474365,19,1,1,2.757955925705343
69,0,0.041991472244262695,20,1,1,2.7464931567254736
70,0,0.04269927740097046,21,1,1,2.7295926491429605
71,0,0.04297494888305664,22,1,1,2.718165132883992
72,0,0.07269531488418579,23,1,1,2.7027026993147825
73,0,0.040240585803985596,24,1,1,2.6836087103685395
74,0,0.04454702138900757,25,1,1,2.6842267664742328
75,0,0.05069375038146973,26,1,1,2.6676532183792414
76,0,0.04618614912033081,27,1,1,2.657642095633744
77,0,0.05438178777694702,28,1,1,2.6525153429510513
78,0,0.04682689905166626,29,1,1,2.6495687180869685
79,0,0.06736814975738525,30,1,1,2.638488639348527
80,0,0.044927000999450684,31,1,1,2.6351416150157534
81,0,0.06548315286636353,32,1,1,2.6404070660989185
82,0,0.057443976402282715,33,1,1,2.629335874407509
83,0,0.0475272536277771,34,1,1,2.636437030591537
84,0,0.04346668720245361,35,1,1,2.6393076295708555
85,0,0.06723403930664062,36,1,1,2.6338322157873857
86,0,0.047616660594940186,37,1,1,2.6357434357132026
87,0,0.04757195711135864,38,1,1,2.6489180837852757
88,0,0.04583597183227539,39,1,1,2.646131644869793
89,0,0.04325062036514282,40,1,1,2.650361063156339
90,0,0.053748488426208496,41,1,1,2.6698564347837466
91,0,0.04919618368148804,42,1,1,2.6816678455582412
92,0,0.053822994232177734,43,1,1,2.6926140551021986
93,0,0.05033612251281738,44,1,1,2.708579847456238
94,0,0.052772462368011475,45,1,1,2.7256554605180443
95,0,0.06219744682312012,46,1,1,2.7360635922955097
